1;1;1234991936;ANK203;14/06/2023;07:30:04;14/06/2023;18:52:59;0
2;2;1234991936;ANK203;14/06/2023;07:48:05;14/06/2023;18:53:05;0
3;3;1234991936;ANK203;14/06/2023;07:55:52;14/06/2023;18:53:54;0
4;4;1234991936;ANK203;14/06/2023;07:56:24;14/06/2023;18:56:17;0
5;5;1234991936;ANK203;14/06/2023;07:57:23;14/06/2023;18:56:25;0
6;6;1234991936;ANK203;14/06/2023;07:58:02;14/06/2023;18:56:35;0
7;7;1234991936;ANK203;14/06/2023;08:11:31;14/06/2023;19:01:47;0
8;8;1234991936;ANK203;14/06/2023;08:19:46;14/06/2023;19:02:50;0
9;9;1234991936;ANK203;14/06/2023;08:23:37;14/06/2023;19:06:04;0
10;10;1234991936;ANK203;14/06/2023;08:24:36;14/06/2023;19:07:34;0
20;11;1234991936;ANK203;14/06/2023;18:49:02;14/06/2023;19:13:09;0
19;12;1234991936;ANK203;14/06/2023;18:41:56;14/06/2023;19:13:25;0
